[2026-06-15 20:56:52,681] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/accounts/login/ | status=404
[2026-06-15 20:56:53,146] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/accounts/login/ | status=404
[2026-06-15 20:59:39,799] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-15 20:59:40,721] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-15 20:59:42,133] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/register/ | status=201
[2026-06-16 08:56:36,779] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:00:56,064] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:00:59,450] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 09:01:20,196] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:01:25,940] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:02:05,438] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:02:09,778] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:02:15,266] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:06:32,167] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:06:33,889] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:06:34,079] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:06:34,175] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:12:53,263] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 09:16:55,094] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:16:56,612] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 09:16:59,024] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/register/ | status=201
[2026-06-16 09:52:53,231] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:52:56,068] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 09:52:58,989] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:52:58,999] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/ | status=405
[2026-06-16 09:53:01,790] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:53:01,794] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/zones/ | status=201
[2026-06-16 09:53:04,749] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:53:04,756] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/racks/ | status=201
[2026-06-16 09:53:10,369] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:53:10,382] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/bins/ | status=201
[2026-06-16 09:53:17,148] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:53:17,156] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/inventory/categories/ | status=201
[2026-06-16 09:53:17,538] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/inventory/products/ | status=201
[2026-06-16 09:53:25,123] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:53:25,147] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/inventory/movements/ | status=201
[2026-06-16 09:53:32,481] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:53:32,503] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/inventory/movements/ | status=201
[2026-06-16 09:53:40,133] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:53:40,142] INFO audit - AUDIT | user=staff_test | method=POST | path=/api/approvals/requests/ | status=405
[2026-06-16 09:53:47,411] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:53:47,441] INFO audit - AUDIT | user=anonymous | method=PATCH | path=/api/approvals/requests/1/approve/ | status=404
[2026-06-16 09:54:01,737] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:54:01,742] INFO audit - AUDIT | user=viewer_test | method=POST | path=/api/warehouses/ | status=405
[2026-06-16 09:58:02,355] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:58:05,186] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=401
[2026-06-16 09:58:07,960] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:58:07,976] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/ | status=201
[2026-06-16 09:58:10,686] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:58:10,689] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/zones/ | status=405
[2026-06-16 09:58:13,384] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:58:13,387] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/racks/ | status=405
[2026-06-16 09:58:16,072] INFO audit - AUDIT | user=anonymous | method=POST | path=/api/auth/login/ | status=200
[2026-06-16 09:58:16,076] INFO audit - AUDIT | user=admin_test | method=POST | path=/api/warehouses/bins/ | status=405
