[2026-06-15 20:33:33,312] INFO django.request.custom - [401] GET /api/warehouses/ | user=af | 135.7ms
[2026-06-15 20:56:52,681] INFO django.request.custom - [404] POST /api/accounts/login/ | user=anonymous | 5.1ms
[2026-06-15 20:56:53,147] INFO django.request.custom - [404] POST /api/accounts/login/ | user=anonymous | 0.48ms
[2026-06-15 20:56:53,614] INFO django.request.custom - [404] GET /api/accounts/users/ | user=anonymous | 0.2ms
[2026-06-15 20:59:39,799] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 688.43ms
[2026-06-15 20:59:40,722] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 454.75ms
[2026-06-15 20:59:41,173] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 0.93ms
[2026-06-15 20:59:42,133] INFO django.request.custom - [201] POST /api/auth/register/ | user=anonymous | 503.8ms
[2026-06-15 21:25:00,312] INFO django.request.custom - [401] GET /api/approvals/ | user=af | 175.98ms
[2026-06-15 21:25:08,862] INFO django.request.custom - [404] GET /api/ | user=af | 86.36ms
[2026-06-15 21:30:24,454] INFO django.request.custom - [401] GET /api/notifications/ | user=af | 147.39ms
[2026-06-16 08:56:36,781] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 2030.87ms
[2026-06-16 08:56:36,801] INFO django.request.custom - [200] GET /api/auth/me/ | user=anonymous | 9.2ms
[2026-06-16 09:00:56,072] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1862.51ms
[2026-06-16 09:00:56,088] INFO django.request.custom - [401] GET /api/auth/me/ | user=anonymous | 9.31ms
[2026-06-16 09:00:59,451] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 1912.05ms
[2026-06-16 09:01:20,197] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1866.81ms
[2026-06-16 09:01:20,204] INFO django.request.custom - [401] GET /api/auth/me/ | user=anonymous | 0.64ms
[2026-06-16 09:01:25,941] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1820.39ms
[2026-06-16 09:01:25,951] INFO django.request.custom - [401] GET /api/auth/me/ | user=anonymous | 0.96ms
[2026-06-16 09:02:05,439] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1837.96ms
[2026-06-16 09:02:05,447] INFO django.request.custom - [401] GET /api/auth/me/ | user=anonymous | 1.01ms
[2026-06-16 09:02:09,778] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1844.37ms
[2026-06-16 09:02:09,786] INFO django.request.custom - [401] GET /api/auth/me/ | user=anonymous | 0.65ms
[2026-06-16 09:02:15,267] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1883.96ms
[2026-06-16 09:02:15,274] INFO django.request.custom - [401] GET /api/auth/me/ | user=anonymous | 0.5ms
[2026-06-16 09:06:32,168] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1821.44ms
[2026-06-16 09:06:32,431] INFO django.request.custom - [200] GET /api/warehouses/dashboard/summary/ | user=anonymous | 38.42ms
[2026-06-16 09:06:32,457] INFO django.request.custom - [200] GET /api/warehouses/dashboard/utilization/ | user=anonymous | 22.49ms
[2026-06-16 09:06:32,474] INFO django.request.custom - [200] GET /api/warehouses/dashboard/low-stock/ | user=anonymous | 12.36ms
[2026-06-16 09:06:32,492] INFO django.request.custom - [200] GET /api/warehouses/dashboard/summary/ | user=anonymous | 12.71ms
[2026-06-16 09:06:32,507] INFO django.request.custom - [200] GET /api/warehouses/dashboard/utilization/ | user=anonymous | 10.65ms
[2026-06-16 09:06:32,520] INFO django.request.custom - [200] GET /api/warehouses/dashboard/low-stock/ | user=anonymous | 7.58ms
[2026-06-16 09:06:33,890] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1959.71ms
[2026-06-16 09:06:34,080] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1951.88ms
[2026-06-16 09:06:34,177] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 2004.99ms
[2026-06-16 09:12:40,790] INFO django.request.custom - [401] GET /api/approvals/ | user=anonymous | 26.81ms
[2026-06-16 09:12:40,803] INFO django.request.custom - [401] GET /api/approvals/ | user=anonymous | 0.81ms
[2026-06-16 09:12:53,265] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 1991.3ms
[2026-06-16 09:13:05,885] INFO django.request.custom - [401] GET /api/notifications/ | user=anonymous | 3.96ms
[2026-06-16 09:13:05,893] INFO django.request.custom - [401] GET /api/notifications/ | user=anonymous | 1.89ms
[2026-06-16 09:13:17,892] INFO django.request.custom - [200] GET /api/notifications/ | user=anonymous | 52.79ms
[2026-06-16 09:13:17,903] INFO django.request.custom - [200] GET /api/notifications/ | user=anonymous | 5.76ms
[2026-06-16 09:13:23,264] INFO django.request.custom - [200] GET /api/warehouses/dashboard/low-stock/ | user=anonymous | 27.38ms
[2026-06-16 09:13:23,265] INFO django.request.custom - [200] GET /api/warehouses/dashboard/summary/ | user=anonymous | 34.78ms
[2026-06-16 09:13:23,267] INFO django.request.custom - [200] GET /api/warehouses/dashboard/utilization/ | user=anonymous | 33.44ms
[2026-06-16 09:13:23,341] INFO django.request.custom - [200] GET /api/warehouses/dashboard/low-stock/ | user=anonymous | 69.52ms
[2026-06-16 09:13:23,350] INFO django.request.custom - [200] GET /api/warehouses/dashboard/utilization/ | user=anonymous | 73.43ms
[2026-06-16 09:13:23,359] INFO django.request.custom - [200] GET /api/warehouses/dashboard/summary/ | user=anonymous | 79.48ms
[2026-06-16 09:13:26,866] INFO django.request.custom - [200] GET /api/warehouses/dashboard/low-stock/ | user=anonymous | 20.9ms
[2026-06-16 09:13:26,873] INFO django.request.custom - [200] GET /api/warehouses/dashboard/utilization/ | user=anonymous | 25.55ms
[2026-06-16 09:13:26,891] INFO django.request.custom - [200] GET /api/warehouses/dashboard/summary/ | user=anonymous | 49.47ms
[2026-06-16 09:13:26,901] INFO django.request.custom - [200] GET /api/warehouses/dashboard/low-stock/ | user=anonymous | 23.96ms
[2026-06-16 09:13:26,913] INFO django.request.custom - [200] GET /api/warehouses/dashboard/utilization/ | user=anonymous | 26.67ms
[2026-06-16 09:13:26,921] INFO django.request.custom - [200] GET /api/warehouses/dashboard/summary/ | user=anonymous | 22.4ms
[2026-06-16 09:13:28,451] INFO django.request.custom - [200] GET /api/approvals/ | user=anonymous | 8.46ms
[2026-06-16 09:13:28,460] INFO django.request.custom - [200] GET /api/approvals/ | user=anonymous | 6.54ms
[2026-06-16 09:13:33,459] INFO django.request.custom - [200] GET /api/notifications/ | user=anonymous | 8.51ms
[2026-06-16 09:13:33,470] INFO django.request.custom - [200] GET /api/notifications/ | user=anonymous | 7.13ms
[2026-06-16 09:16:55,094] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1049.41ms
[2026-06-16 09:16:56,612] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 775.44ms
[2026-06-16 09:16:57,337] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 2.06ms
[2026-06-16 09:16:59,025] INFO django.request.custom - [201] POST /api/auth/register/ | user=anonymous | 909.64ms
[2026-06-16 09:49:32,396] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 1.46ms
[2026-06-16 09:52:53,232] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 670.61ms
[2026-06-16 09:52:56,069] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 712.98ms
[2026-06-16 09:52:58,989] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 703.38ms
[2026-06-16 09:52:58,999] INFO django.request.custom - [405] POST /api/warehouses/ | user=anonymous | 8.99ms
[2026-06-16 09:53:01,790] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 692.34ms
[2026-06-16 09:53:01,795] INFO django.request.custom - [201] POST /api/warehouses/zones/ | user=anonymous | 3.53ms
[2026-06-16 09:53:04,749] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 762.38ms
[2026-06-16 09:53:04,756] INFO django.request.custom - [201] POST /api/warehouses/racks/ | user=anonymous | 5.04ms
[2026-06-16 09:53:10,370] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1670.1ms
[2026-06-16 09:53:10,383] INFO django.request.custom - [201] POST /api/warehouses/bins/ | user=anonymous | 9.03ms
[2026-06-16 09:53:17,149] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1647.26ms
[2026-06-16 09:53:17,162] INFO django.request.custom - [201] POST /api/inventory/categories/ | user=anonymous | 10.76ms
[2026-06-16 09:53:17,539] INFO django.request.custom - [201] POST /api/inventory/products/ | user=anonymous | 374.8ms
[2026-06-16 09:53:25,124] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1957.91ms
[2026-06-16 09:53:25,148] INFO django.request.custom - [201] POST /api/inventory/movements/ | user=anonymous | 16.81ms
[2026-06-16 09:53:32,483] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1639.15ms
[2026-06-16 09:53:32,504] INFO django.request.custom - [201] POST /api/inventory/movements/ | user=anonymous | 14.32ms
[2026-06-16 09:53:40,134] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 2040.06ms
[2026-06-16 09:53:40,149] INFO django.request.custom - [405] POST /api/approvals/requests/ | user=anonymous | 9.33ms
[2026-06-16 09:53:47,413] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1900.83ms
[2026-06-16 09:53:47,441] INFO django.request.custom - [404] PATCH /api/approvals/requests/1/approve/ | user=anonymous | 24.5ms
[2026-06-16 09:53:52,929] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 1.28ms
[2026-06-16 09:54:01,738] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1766.95ms
[2026-06-16 09:54:01,749] INFO django.request.custom - [405] POST /api/warehouses/ | user=anonymous | 9.33ms
[2026-06-16 09:58:02,355] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 675.6ms
[2026-06-16 09:58:05,186] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 714.33ms
[2026-06-16 09:58:07,960] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 703.9ms
[2026-06-16 09:58:07,976] INFO django.request.custom - [201] POST /api/warehouses/ | user=anonymous | 15.41ms
[2026-06-16 09:58:10,686] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 689.06ms
[2026-06-16 09:58:10,689] INFO django.request.custom - [405] POST /api/warehouses/zones/ | user=anonymous | 1.2ms
[2026-06-16 09:58:13,385] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 680.04ms
[2026-06-16 09:58:13,387] INFO django.request.custom - [405] POST /api/warehouses/racks/ | user=anonymous | 1.02ms
[2026-06-16 09:58:16,073] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 682.56ms
[2026-06-16 09:58:16,076] INFO django.request.custom - [405] POST /api/warehouses/bins/ | user=anonymous | 1.41ms
[2026-06-16 09:58:18,751] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 655.91ms
[2026-06-16 09:58:18,755] INFO django.request.custom - [201] POST /api/inventory/categories/ | user=anonymous | 2.98ms
[2026-06-16 09:58:18,759] INFO django.request.custom - [201] POST /api/inventory/products/ | user=anonymous | 3.15ms
[2026-06-16 09:58:21,416] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 654.77ms
[2026-06-16 09:58:21,424] INFO django.request.custom - [201] POST /api/inventory/movements/ | user=anonymous | 4.92ms
[2026-06-16 09:58:24,201] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 690.81ms
[2026-06-16 09:58:24,212] INFO django.request.custom - [201] POST /api/inventory/movements/ | user=anonymous | 7.72ms
[2026-06-16 09:58:26,951] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 667.71ms
[2026-06-16 09:58:26,960] INFO django.request.custom - [201] POST /api/approvals/requests/ | user=anonymous | 5.95ms
[2026-06-16 09:58:29,797] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 682.98ms
[2026-06-16 09:58:29,801] INFO django.request.custom - [400] PATCH /api/approvals/requests/1/approve/ | user=anonymous | 3.51ms
[2026-06-16 09:58:31,806] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 0.35ms
[2026-06-16 09:58:35,128] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 650.5ms
[2026-06-16 09:58:35,130] INFO django.request.custom - [403] POST /api/warehouses/ | user=anonymous | 1.05ms
[2026-06-16 10:03:01,093] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1677.04ms
[2026-06-16 10:03:07,953] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 1726.92ms
[2026-06-16 10:03:14,807] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1705.17ms
[2026-06-16 10:03:14,814] INFO django.request.custom - [405] POST /api/warehouses/ | user=anonymous | 5.04ms
[2026-06-16 10:03:21,337] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1618.84ms
[2026-06-16 10:03:21,357] INFO django.request.custom - [201] POST /api/warehouses/zones/ | user=anonymous | 16.73ms
[2026-06-16 10:03:27,960] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1647.43ms
[2026-06-16 10:03:27,976] INFO django.request.custom - [201] POST /api/warehouses/racks/ | user=anonymous | 12.25ms
[2026-06-16 10:03:34,489] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1608.19ms
[2026-06-16 10:03:34,507] INFO django.request.custom - [201] POST /api/warehouses/bins/ | user=anonymous | 13.48ms
[2026-06-16 10:03:41,036] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1597.24ms
[2026-06-16 10:03:41,048] INFO django.request.custom - [201] POST /api/inventory/categories/ | user=anonymous | 10.82ms
[2026-06-16 10:03:41,089] INFO django.request.custom - [201] POST /api/inventory/products/ | user=anonymous | 38.36ms
[2026-06-16 10:03:47,928] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1630.98ms
[2026-06-16 10:03:47,948] INFO django.request.custom - [201] POST /api/inventory/movements/ | user=anonymous | 14.92ms
[2026-06-16 10:03:54,891] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1659.71ms
[2026-06-16 10:03:54,909] INFO django.request.custom - [201] POST /api/inventory/movements/ | user=anonymous | 12.42ms
[2026-06-16 10:03:59,631] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 803.36ms
[2026-06-16 10:03:59,637] INFO django.request.custom - [201] POST /api/approvals/requests/ | user=anonymous | 4.27ms
[2026-06-16 10:04:02,497] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 686.63ms
[2026-06-16 10:04:02,502] INFO django.request.custom - [400] PATCH /api/approvals/requests/1/approve/ | user=anonymous | 3.58ms
[2026-06-16 10:04:04,465] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 0.35ms
[2026-06-16 10:04:07,705] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 629.12ms
[2026-06-16 10:04:07,706] INFO django.request.custom - [405] POST /api/warehouses/ | user=anonymous | 1.11ms
[2026-06-16 10:06:34,479] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 651.67ms
[2026-06-16 10:06:37,103] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 644.88ms
[2026-06-16 10:06:39,770] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 659.93ms
[2026-06-16 10:06:39,777] INFO django.request.custom - [201] POST /api/warehouses/ | user=anonymous | 6.83ms
[2026-06-16 10:06:42,429] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 639.51ms
[2026-06-16 10:06:42,431] INFO django.request.custom - [405] POST /api/warehouses/zones/ | user=anonymous | 1.05ms
[2026-06-16 10:06:45,086] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 634.67ms
[2026-06-16 10:06:45,089] INFO django.request.custom - [405] POST /api/warehouses/racks/ | user=anonymous | 1.6ms
[2026-06-16 10:06:47,742] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 660.5ms
[2026-06-16 10:06:47,746] INFO django.request.custom - [405] POST /api/warehouses/bins/ | user=anonymous | 1.01ms
[2026-06-16 10:06:50,325] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 634.64ms
[2026-06-16 10:06:50,329] INFO django.request.custom - [201] POST /api/inventory/categories/ | user=anonymous | 2.58ms
[2026-06-16 10:06:50,335] INFO django.request.custom - [201] POST /api/inventory/products/ | user=anonymous | 5.21ms
[2026-06-16 10:06:52,983] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 644.47ms
[2026-06-16 10:06:52,990] INFO django.request.custom - [201] POST /api/inventory/movements/ | user=anonymous | 4.9ms
[2026-06-16 10:06:55,634] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 656.21ms
[2026-06-16 10:06:55,641] INFO django.request.custom - [201] POST /api/inventory/movements/ | user=anonymous | 4.06ms
[2026-06-16 10:06:58,320] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 633.84ms
[2026-06-16 10:06:58,327] INFO django.request.custom - [201] POST /api/approvals/requests/ | user=anonymous | 4.25ms
[2026-06-16 10:07:00,989] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 651.05ms
[2026-06-16 10:07:00,997] INFO django.request.custom - [200] PATCH /api/approvals/requests/1/approve/ | user=anonymous | 6.7ms
[2026-06-16 10:07:03,012] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 0.38ms
[2026-06-16 10:07:06,316] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 642.93ms
[2026-06-16 10:07:06,318] INFO django.request.custom - [403] POST /api/warehouses/ | user=anonymous | 1.03ms
[2026-06-16 10:09:45,856] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 654.16ms
[2026-06-16 10:09:48,671] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 692.78ms
[2026-06-16 10:09:51,468] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 683.76ms
[2026-06-16 10:09:51,478] INFO django.request.custom - [201] POST /api/warehouses/ | user=anonymous | 9.09ms
[2026-06-16 10:09:54,196] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 685.86ms
[2026-06-16 10:09:54,200] INFO django.request.custom - [201] POST /api/warehouses/zones/ | user=anonymous | 3.13ms
[2026-06-16 10:09:56,896] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 666.85ms
[2026-06-16 10:09:56,900] INFO django.request.custom - [201] POST /api/warehouses/racks/ | user=anonymous | 3.17ms
[2026-06-16 10:09:59,579] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 657.61ms
[2026-06-16 10:09:59,584] INFO django.request.custom - [201] POST /api/warehouses/bins/ | user=anonymous | 3.31ms
[2026-06-16 10:10:02,341] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 664.5ms
[2026-06-16 10:10:02,344] INFO django.request.custom - [201] POST /api/inventory/categories/ | user=anonymous | 2.31ms
[2026-06-16 10:10:02,348] INFO django.request.custom - [201] POST /api/inventory/products/ | user=anonymous | 2.99ms
[2026-06-16 10:10:05,081] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 665.96ms
[2026-06-16 10:10:05,090] INFO django.request.custom - [201] POST /api/inventory/movements/ | user=anonymous | 5.92ms
[2026-06-16 10:10:07,873] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 696.72ms
[2026-06-16 10:10:07,880] INFO django.request.custom - [201] POST /api/inventory/movements/ | user=anonymous | 4.01ms
[2026-06-16 10:10:10,792] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 693.3ms
[2026-06-16 10:10:10,799] INFO django.request.custom - [201] POST /api/approvals/requests/ | user=anonymous | 4.2ms
[2026-06-16 10:10:13,569] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 683.43ms
[2026-06-16 10:10:13,576] INFO django.request.custom - [200] PATCH /api/approvals/requests/1/approve/ | user=anonymous | 5.6ms
[2026-06-16 10:10:15,520] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 0.38ms
[2026-06-16 10:10:18,779] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 642.73ms
[2026-06-16 10:10:18,780] INFO django.request.custom - [403] POST /api/warehouses/ | user=anonymous | 1.02ms
[2026-06-16 11:00:41,030] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 1076.57ms
[2026-06-16 11:00:44,534] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 1797.48ms
[2026-06-16 11:00:46,357] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 1.56ms
[2026-06-16 11:00:50,040] INFO django.request.custom - [201] POST /api/auth/register/ | user=anonymous | 1740.5ms
[2026-06-16 11:01:05,389] INFO django.request.custom - [404] GET /api/v1/approvals/ | user=anonymous | 6.72ms
[2026-06-16 11:01:07,471] INFO django.request.custom - [404] POST /api/v1/approvals/ | user=anonymous | 7.21ms
[2026-06-16 11:01:09,363] INFO django.request.custom - [404] GET /api/v1/approvals/ | user=anonymous | 0.25ms
[2026-06-16 11:01:40,922] INFO django.request.custom - [404] GET /api/v1/notifications/ | user=anonymous | 0.49ms
[2026-06-16 11:01:45,091] INFO django.request.custom - [404] GET /api/v1/notifications/ | user=anonymous | 0.73ms
[2026-06-16 11:07:24,810] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 858.29ms
[2026-06-16 11:07:26,519] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 850.98ms
[2026-06-16 11:07:27,415] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 0.78ms
[2026-06-16 11:07:29,158] INFO django.request.custom - [201] POST /api/auth/register/ | user=anonymous | 883.36ms
[2026-06-16 11:07:40,188] INFO django.request.custom - [200] GET /api/approvals/ | user=anonymous | 14.52ms
[2026-06-16 11:07:41,951] INFO django.request.custom - [405] POST /api/approvals/ | user=anonymous | 0.97ms
[2026-06-16 11:07:43,732] INFO django.request.custom - [401] GET /api/approvals/ | user=anonymous | 0.45ms
[2026-06-16 11:08:06,209] INFO django.request.custom - [401] GET /api/notifications/ | user=anonymous | 0.78ms
[2026-06-16 11:08:08,965] INFO django.request.custom - [200] GET /api/notifications/ | user=anonymous | 29.08ms
[2026-06-16 11:14:46,805] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 482.72ms
[2026-06-16 11:14:47,789] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 510.62ms
[2026-06-16 11:14:48,282] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 0.52ms
[2026-06-16 11:14:49,307] INFO django.request.custom - [201] POST /api/auth/register/ | user=anonymous | 535.7ms
[2026-06-16 11:14:55,485] INFO django.request.custom - [200] GET /api/approvals/requests/ | user=anonymous | 3.85ms
[2026-06-16 11:14:56,463] INFO django.request.custom - [201] POST /api/approvals/requests/ | user=anonymous | 13.35ms
[2026-06-16 11:14:57,472] INFO django.request.custom - [401] GET /api/approvals/requests/ | user=anonymous | 0.29ms
[2026-06-16 11:15:07,250] INFO django.request.custom - [401] GET /api/notifications/ | user=anonymous | 0.4ms
[2026-06-16 11:15:08,170] INFO django.request.custom - [200] GET /api/notifications/ | user=anonymous | 1.57ms
[2026-06-16 11:28:00,493] INFO django.request.custom - [200] POST /api/auth/login/ | user=anonymous | 493.3ms
[2026-06-16 11:28:01,477] INFO django.request.custom - [401] POST /api/auth/login/ | user=anonymous | 494.41ms
[2026-06-16 11:28:01,948] INFO django.request.custom - [401] GET /api/warehouses/ | user=anonymous | 0.78ms
[2026-06-16 11:28:02,942] INFO django.request.custom - [201] POST /api/auth/register/ | user=anonymous | 512.13ms
[2026-06-16 11:28:08,951] INFO django.request.custom - [200] GET /api/approvals/requests/ | user=anonymous | 1.61ms
[2026-06-16 11:28:10,029] INFO django.request.custom - [201] POST /api/approvals/requests/ | user=anonymous | 10.6ms
